name;review;rating;polaridad
Joy Baby Ladybug Costume Handmade Crochet Knit Photo Prop;Supper cute. I bought it for my newborn Son to take photo shots. The quality is good. I love it.;5;1
Bugaboo Comfort Transport Bag, Black;"I recently purchased this bag for an upcoming plane trip. The bag itself is a lot bigger than I had anticipated, so I would definitely take out the measuring tape so you know what you are expecting size wise - both folded up and with the stroller inside. All folded up, it looks like it's about the size of a nice roller garment bag. It is definitely bigger than your average carry-on suitcase (not that you'd take this thing carry on, but just as a frame of reference re size.) I've got the bee and the graco adapter; both fit inside it, which is fantastic. You strap the stroller to the inside of the bag before you zip it all up and it seems very secure. It comes with a bag with a handle, which I think is really only useful if you have donkey, as you need to take the wheels off and put it into the bag. I put my rain cover in that extra bag and it fits perfectly in there. So when I travel, I think I will put the rain cover inside the extra bag, along with the stroller and graco adapter. The real test is when I actually use it. I decided to get this one vs the compact travel bag, as it seems like the stroller will be more protected. I think that was the right decision. It looks like all the bugaboo strollers can fit into this bag, so that is nice. It also comes with a nice shoulder strap. When the stroller is inside and everything is all zipped up, it wheels around very nicely, and the handling is smooth. The fabric. clips and straps all seem durable too, and the fabric seems like it's easy to clean. When it will be time to pack it up, when i'm at the gate, it may look a tad ridiculous because it is quite an operation to get it all in, but it's manageable. If you are traveling by yourself with the baby, I think it will be hard to manage ie holding the baby and packing it up. So I would recommend having someone hold the baby (like a nice airline gate attendant) while you're trying to wrangle with it. All in all, I am happy with my purchase. But again, the true test will happen we go on our trip. I am giving this 4 stars vs 5 just because the bag is a lot bigger even folded up than I had expected.UPDATE: We are now back from our trip and I can confirm that everything I wrote on the review holds true. I am keeping the four stars. The main goal was to keep our nice bee stroller protected during airplane travel and it definitely was. It had a few dust etc marks on the outside when we retrieved it, so I know it was definitely protecting the stroller. I even saw some strollers being loaded up into the belly of the plane before boarding and saw the handlers chucking them onto the plane. I felt bad about the strollers that were not wrapped up in any way and relieved to know ours was tucked away safely. Also, the graco attachment and the bag with the rain gear fit in perfectly. I even had room to fit in my raincoat which I did not need during the flight. The reason why it's not 5 stars? The size. When folded up and not in use, it's a bit awkward. And if you don't fold up exactly right, the shoulder strap can be off and the whole thing is wonky and annoying, especially if you are trying to walk with it. Also, lugging the thing through security to the gate is kind of awkward and a pain. And when it's time to put the stroller into the actual thing, it's kind of an ordeal. You take up soooo much room, because all laid out the thing is HUGE, it has a big footprint. But by the last leg of our trip, I became a pro and was pretty fast in zipping it all up. All of the airline staff watched in amazement as I unwrapped this huge thing and then put in our stroller. But at the end of the day, it did its primary job and protected our stroller. I am happy with the purchase and I am sure we will use this again when we travel.";4;1
Carters Easy Fit Velour Plush Crib Fitted Sheet, Chocolate;Very soft for my infants crib and helps keep her warm in the winter months the color is more of a very very light pink;5;1
Summer Infant Bibbity, Pink;Love this bib for my toddler. It does seem to stain easily but I don't really care because it is so easy for me to wash it. It doesn't seem to stink like other bibs start to do over time. My son is 2 and could wear it for quite some time still.;5;1
Skip Hop Duo Double - Canvas-Charcoal;I ordered this bag because of the many compartments it had.  The only thing is, I had to exchange it for the smaller one because it was a little too spacious.  I imagine it would be better suited for someone expecting twins or someone with more than one child.  I am extremely happy with the smaller version although it doesn't have the exact same appearance.  Still, Skip Hop did a great job at making these bags convenient and visually appealing!;4;1
Wee Gallery Wall Graphics, Jungle;I like that it's an artful look that is not a traditional theme.  The trees and deer is cool.  But some other animals are not cut out well where they have extra stickere paper around them where it would look better without it.  I would still buy it know this.;4;1
NUK Classic Latex BPA Free Pacifier, 0+ Months, Colors May Vary;I am putting 5 stars for this item because I know these are good pacifiers but the fact is, what I am commenting on is the color that was sent to us via. Amazon.I added this pacifier to my registry knowing this is the kind that I love, however the photo is a blue pacifier which I would say is easily for a boy or girl.  My husband ordered one pacifier as a cute little gift for me and when it came it was pink! We are not finding out what we are having... I love pink but what if we have a boy??? I don't recommend ordering this through Amazon unless you don't care what color you get.  We shall see if the pink pacifier is accurate or not.  I just think if they are sending any old color they should send a neutral one at least.;5;1
Moby Wrap Original 100% Cotton Baby Carrier, Red;I bought this hoping to be able to still carry my infant and get some things done around the house. It works great and she loves it. I love way it feels and it's very simple to use.;5;1
Sassy 2 Count Grow Up Cup, Purple/Orange, 9 Ounce;"My two year old can drink out of regular cups, but loves to pour out her drink. The grow up cup is spill proof; it cuts down on 99% of mess. This is a great cup for toddlers on the go. It's not a ""baby"" cup, so my daughter feels like a big kid.";5;1
"Lamaze Play &amp; Grow Mortimer the Moose Take Along Toy";My three month old daughter loves this toy!  We don't leave the house without it!  She loves the colors and different textures, and she's just recently starting chewing on the rings and antlers.  I'd highly recommend this toy for anyone with an infant!;5;1
Beaba Babycook Baby Food Maker;Better than the baby bullet - if for no other reason than it has a steamer which perfectly cooks annoying vegetables like peas.;5;1
Stork Craft Tuscany 4 in 1 Fixed Side Convertible Crib, White;I really like this crib so far.  Hopefully baby likes it as much when she tests it out in a few months.  The piece arrived without any packaging issues and set up was easy (my husband and his two friends did it for me).  I didn't have any smelling issues past the first day or so after airing out the room.  The expresso color was a bit darker than what I was expecting, but I liked it better that way actually, so no complaints there!;5;1
Celebration Candles 1-21 Year Numbered Birthday Candle, Pink;We ordered two candles for two couples who had had babies within 10 days of each other -- one boy and one girl.  The candles seemed to be a hit -- sure beat Christmas ornaments...;4;1
Britax 2 Pack EZ-Cling Sun Shades, Black;The Britax sun shades work perfect. Needed something extra on our tinted windows for those long trips with the grandkids. These fit perfect in the rear passenger windows of our Tacoma (4dr) and provided extra shading from the sun. Covers about 90% of the window and is easy to install, even for the grandkids. Yes, like the reviews that I read, you must remove the sun shades to open the windows. For us on long road trips it wasn't an issue. Easily cleaned using a microfiber towel. The feature that I like is that the screens fold into a small plastic pouch, the original packaging, and can easily be stored behind the back seat(s) of our truck. Great product.;5;1
JJ Cole Original Toddler Bundleme, Graphite, Toddler;This is great- Use it in place of a blanket or heavy pants. This keeps your toddler nice and warm on a cold day.;5;1
Thirsties 3 Pack Boys Fab Doublers Soft Cotton Velour, Ocean Blue/Meadow/White, Large;These are super soft, and awesome inserts for cloth diapers. But they can be irritating for sensitive skin babes.. beware!;4;1
